"Prebivalstvo po: STATISTI?NA REGIJA , LETO"

"SLOVENIJA"
" ";"2002";1994026
" ";"2003";1995033
" ";"2004";1996433
" ";"2005";1997590
" ";"2006";2003358
" ";"2007";2010377
" ";"2008";2025866
" ";"2009";2032362
" ";"2010";2046976
" ";"2011";2050189
" ";"2012";2055496
" ";"2013";2058821
" ";"2014";2061085
" ";"2015";2062874
" ";"2016";2064188
" ";"2017";2065895
"Pomurska"
" ";"2002";123948
" ";"2003";123550
" ";"2004";123073
" ";"2005";122717
" ";"2006";122453
" ";"2007";122068
" ";"2008";121824
" ";"2009";119537
" ";"2010";119548
" ";"2011";119145
" ";"2012";118988
" ";"2013";118022
" ";"2014";117133
" ";"2015";116670
" ";"2016";116078
" ";"2017";115477
"Podravska"
" ";"2002";320078
" ";"2003";319804
" ";"2004";319426
" ";"2005";319114
" ";"2006";319235
" ";"2007";319706
" ";"2008";321781
" ";"2009";322900
" ";"2010";323343
" ";"2011";323119
" ";"2012";323534
" ";"2013";323238
" ";"2014";323328
" ";"2015";323356
" ";"2016";322553
" ";"2017";322043
"Koroska"
" ";"2002";74027
" ";"2003";73901
" ";"2004";73860
" ";"2005";73839
" ";"2006";73754
" ";"2007";73619
" ";"2008";73714
" ";"2009";72481
" ";"2010";72812
" ";"2011";72494
" ";"2012";72364
" ";"2013";72100
" ";"2014";71546
" ";"2015";71303
" ";"2016";71040
" ";"2017";70761
"Savinjska"
" ";"2002";256871
" ";"2003";256968
" ";"2004";256810
" ";"2005";256752
" ";"2006";257375
" ";"2007";258480
" ";"2008";261243
" ";"2009";258845
" ";"2010";260025
" ";"2011";259726
" ";"2012";260253
" ";"2013";260217
" ";"2014";259853
" ";"2015";253975
" ";"2016";254318
" ";"2017";254761
"Zasavska"
" ";"2002";46123
" ";"2003";45919
" ";"2004";45762
" ";"2005";45547
" ";"2006";45356
" ";"2007";45229
" ";"2008";45226
" ";"2009";44750
" ";"2010";44706
" ";"2011";44222
" ";"2012";43926
" ";"2013";43502
" ";"2014";42983
" ";"2015";57711
" ";"2016";57404
" ";"2017";57280
"Posavska"
" ";"2002";69814
" ";"2003";69895
" ";"2004";70055
" ";"2005";69826
" ";"2006";69899
" ";"2007";70058
" ";"2008";70353
" ";"2009";69900
" ";"2010";70192
" ";"2011";70167
" ";"2012";70164
" ";"2013";70211
" ";"2014";69958
" ";"2015";75619
" ";"2016";75711
" ";"2017";75544
"Jugovzhodna Slovenija"
" ";"2002";138380
" ";"2003";138644
" ";"2004";138848
" ";"2005";139095
" ";"2006";139747
" ";"2007";140258
" ";"2008";141547
" ";"2009";141166
" ";"2010";142092
" ";"2011";142483
" ";"2012";142680
" ";"2013";142509
" ";"2014";142405
" ";"2015";142373
" ";"2016";142566
" ";"2017";142711
"Osrednjeslovenska"
" ";"2002";492117
" ";"2003";493432
" ";"2004";495101
" ";"2005";496675
" ";"2006";500021
" ";"2007";503935
" ";"2008";508607
" ";"2009";521965
" ";"2010";529646
" ";"2011";533213
" ";"2012";536484
" ";"2013";541718
" ";"2014";546314
" ";"2015";534518
" ";"2016";537023
" ";"2017";539672
"Gorenjska"
" ";"2002";197277
" ";"2003";197648
" ";"2004";197834
" ";"2005";198342
" ";"2006";199085
" ";"2007";199902
" ";"2008";201254
" ";"2009";201779
" ";"2010";202903
" ";"2011";203427
" ";"2012";204057
" ";"2013";203984
" ";"2014";203894
" ";"2015";203850
" ";"2016";203838
" ";"2017";203800
"Primorsko-notranjska"
" ";"2002";50760
" ";"2003";50775
" ";"2004";50913
" ";"2005";51032
" ";"2006";51173
" ";"2007";51483
" ";"2008";52083
" ";"2009";51728
" ";"2010";52217
" ";"2011";52287
" ";"2012";52387
" ";"2013";52382
" ";"2014";52449
" ";"2015";52538
" ";"2016";52523
" ";"2017";52582
"Goriska"
" ";"2002";120413
" ";"2003";119938
" ";"2004";119742
" ";"2005";119622
" ";"2006";119628
" ";"2007";119477
" ";"2008";120329
" ";"2009";118533
" ";"2010";119080
" ";"2011";119146
" ";"2012";119236
" ";"2013";119002
" ";"2014";118374
" ";"2015";118188
" ";"2016";118064
" ";"2017";117747
"Obalno-kraska"
" ";"2002";104218
" ";"2003";104559
" ";"2004";105009
" ";"2005";105029
" ";"2006";105632
" ";"2007";106162
" ";"2008";107905
" ";"2009";108778
" ";"2010";110412
" ";"2011";110760
" ";"2012";111423
" ";"2013";111936
" ";"2014";112848
" ";"2015";112773
" ";"2016";113070
" ";"2017";113517